,id,belongs_to_collection_True,budget,language_enc,popularity,status_Released,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,count_genre,count_country,count_company,count_splang,count_cast,count_crew,count_staff,count_keyword,castWt,prodcoWt,keywordWt,crewWt,teamWt,inEnglish,revenue
26,27,0,10000000,0,4.305734999999999,1,1997,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,1,4,1,6,18,24,4,115,71,43,349,535,1,13835130
27,28,0,11000000,0,10.841891,1,2013,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,3,1,24,15,39,3,553,45,44,424,1022,1,7847000
28,29,0,6000000,0,6.759181,1,1986,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,33,18,51,6,654,49,103,451,1154,1,5849647
29,30,0,45000000,0,7.81862,1,2002,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1,11,8,19,4,186,0,59,166,352,1,94935764
30,31,0,13000000,4,16.086919,1,2011,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,2,32,34,66,7,793,115,148,809,1717,1,426480871
31,32,0,0,4,5.69586,1,2005,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,5,15,1,14,18,32,15,168,199,206,257,624,0,36000000
32,33,0,90000000,0,13.412445000000002,1,2015,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,7,1,22,92,114,4,469,119,67,2566,3154,1,146936910
33,34,1,0,0,8.254856,1,2014,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,3,7,31,59,90,4,790,52,62,1363,2205,1,7171
34,35,1,140000000,0,9.718111,1,2007,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,5,18,18,36,1,365,0,7,324,689,1,258022233
35,36,0,30000000,0,8.234382,1,2012,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,5,3,15,34,49,1,339,67,17,849,1255,1,40346186
36,37,0,0,0,2.100499,1,2000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,3,1,15,2,17,14,386,55,224,35,476,1,151559
37,38,0,50000000,0,13.676444,1,1995,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,4,3,14,13,27,8,259,59,138,186,504,1,189859560
38,39,0,0,0,0.32926,1,2013,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,5,2,7,0,130,0,0,46,176,1,92100
39,40,0,3800000,0,3.055936,1,1965,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,14,12,26,5,222,23,91,257,502,1,14873
40,41,1,0,0,2.941626,1,2006,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6,1,7,2,172,3,13,16,191,1,163000
41,42,0,3000000,0,9.718713000000001,1,1967,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,32,28,60,12,660,29,200,567,1256,1,16217773
42,43,0,25000000,0,2.9719990000000003,1,2000,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,11,12,23,10,236,3,192,208,447,1,24362772
43,44,0,6000000,0,9.383088,1,2014,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,32,12,44,5,781,55,79,258,1094,1,1020921
44,45,0,15000000,0,5.615303,1,2005,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,10,12,22,6,184,36,116,196,416,1,47175038
45,46,0,3906840,5,2.382068,1,2009,10,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,5,1,2,2,15,7,22,11,290,23,160,184,497,0,4300000
46,47,1,80000000,0,16.646029000000002,1,2006,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,42,10,52,11,967,27,178,212,1206,1,660940780
47,48,0,44000000,0,20.328822,1,2015,12,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,1,3,2,18,77,95,8,376,27,118,2068,2471,1,155760117
48,49,0,0,0,8.984386,1,2017,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,44,31,75,8,1211,9,158,838,2058,1,653951
49,50,1,38000000,0,8.105708,1,1994,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,1,1,17,15,32,5,346,0,96,235,581,1,120000000
50,51,0,560000,6,1.572904,1,2008,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,9,2,11,10,249,0,200,54,303,0,1500000
51,52,0,12000000,0,4.473326999999999,1,1965,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,17,6,23,5,340,10,113,109,459,1,25333333
52,53,0,0,0,1.012665,1,1980,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,13,7,20,5,222,7,78,150,379,1,11000000
53,54,0,0,0,5.410839,1,1988,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,9,4,13,1,181,5,14,67,253,1,17514553
54,55,0,20000000,0,8.759801,1,2016,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,30,21,51,12,656,53,215,503,1212,1,46069568
55,56,0,0,0,9.122717999999999,1,1993,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,9,3,12,7,226,1,135,69,296,1,36448200
56,57,0,0,4,2.94798,1,2009,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,9,3,12,3,178,19,54,78,275,1,1056938
57,58,1,125000000,0,17.038823999999998,1,1997,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,1,14,105,119,9,257,29,164,2785,3071,1,238207122
58,59,0,0,0,1.8824459999999998,1,2008,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,1,5,1,6,9,123,14,135,11,148,1,119563
59,60,0,14000000,0,3.909079,1,2002,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,7,1,8,20,148,0,428,13,161,1,25482931
60,61,1,150000000,0,23.065078,1,2006,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,3,2,79,126,205,10,1895,54,154,3235,5184,1,599045960
61,62,0,4000000,0,1.8010709999999999,1,1956,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,15,9,24,2,269,16,28,163,448,1,14400000
62,63,0,0,0,6.3816120000000005,1,1998,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,1,2,1,10,48,58,16,202,22,271,1202,1426,1,25232289
63,64,1,5000000,0,7.743144,1,1989,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,3,1,16,7,23,10,335,37,151,142,514,1,14000000
64,65,0,12000000,0,11.160699000000001,1,2013,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,14,69,83,11,275,25,238,1658,1958,1,17654912
65,66,1,1500000,0,8.822275999999999,1,1988,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,12,21,6,149,2,112,231,382,1,11806119
66,67,0,12000000,0,5.145185,1,2010,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,16,12,28,2,306,34,36,313,653,1,204940
67,68,0,0,7,6.303552,1,2013,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,7,5,12,5,155,37,84,67,259,0,154120
68,69,0,2000000,0,14.284787,1,1962,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,56,34,90,17,1312,0,220,756,2068,1,13129846
69,70,1,85000000,0,2.238808,1,2006,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,2,56,57,113,9,1542,0,190,1387,2929,1,158468292
70,71,0,29000000,0,12.092096000000002,1,2005,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4,2,7,1,22,20,42,18,430,87,348,418,935,1,21126225
71,72,0,0,8,7.667491,1,2004,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,2,13,11,24,13,334,135,253,265,734,0,16756372
72,73,0,11000000,0,8.290384,1,1990,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,1,15,7,22,7,286,6,120,135,427,1,8266343
73,74,0,0,9,0.9195559999999999,1,2004,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,6,5,11,5,185,0,66,150,335,0,17393
74,75,0,445000,0,2.482536,1,1976,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,16,12,28,15,329,14,309,308,651,1,2300000
75,76,1,17000000,0,9.665251,1,2011,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,16,10,26,5,393,10,51,250,653,1,24922237
76,77,0,500000,10,0.660663,1,2000,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,3,11,7,18,0,256,0,0,171,427,1,500000
77,78,1,6000000,0,10.451986,1,1980,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,55,9,64,5,1576,17,94,179,1772,1,39846344
78,79,0,0,0,2.6333990000000003,1,1981,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,1,15,13,28,13,310,30,228,285,625,1,35610100
79,80,0,1500000,0,6.636625,1,2016,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,5,3,31,80,111,13,762,88,276,2113,2963,1,779820
80,81,0,15000000,0,4.9840800000000005,1,2002,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,3,6,1,17,22,39,13,321,70,208,473,864,1,9237470
81,82,0,10284523,0,4.3490459999999995,1,2005,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,4,2,11,12,23,1,225,51,9,249,525,1,11588205
82,83,0,43000000,0,10.947957,1,2005,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,4,2,6,1,20,99,119,16,406,70,269,2590,3066,1,91974818
83,84,1,28000000,0,7.482864999999999,1,1984,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,2,18,32,50,8,339,5,110,678,1022,1,40400657
84,85,0,2000000,0,10.239941,1,2011,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,1,6,7,13,9,142,28,196,97,267,1,13101672
85,86,0,50000000,0,7.260574,1,1995,6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,6,1,2,2,21,9,30,4,429,18,57,162,609,1,152022101
86,87,0,8000000,0,9.741644,1,1979,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,19,33,52,12,352,0,241,793,1145,1,106260000
87,88,0,7500000,11,12.314278,1,1995,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,2,9,4,13,10,200,11,172,80,291,1,32392047
88,89,0,20000000,0,13.655178,1,2017,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,3,1,41,21,62,7,1095,43,125,474,1612,1,13162475
89,90,0,0,0,4.359884,1,1993,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,4,2,3,1,13,20,33,22,225,27,304,333,585,1,140081992
90,91,1,30000000,0,25.261865,1,2003,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,36,161,197,15,747,33,254,4389,5169,1,180949000
91,92,0,0,5,3.83196,1,2001,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,18,3,21,3,392,19,35,74,485,0,215339
92,93,0,35000000,0,1.690768,1,1995,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,1,3,2,29,9,38,5,598,31,72,191,820,0,15000000
93,94,0,0,0,14.322814000000001,1,2008,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,12,5,17,5,310,6,85,134,450,1,2724474
94,95,0,15000000,0,18.184055999999998,1,2001,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,2,5,2,71,17,88,16,1541,68,271,265,1874,1,20117339
95,96,0,0,12,0.181963,1,2012,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,3,12,0,234,17,0,85,336,0,14353
96,97,0,2500000,4,2.942355,1,2011,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,6,1,9,10,19,0,193,103,0,266,562,0,3358
97,98,0,0,12,1.0421120000000001,1,2011,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,6,10,16,0,140,17,0,282,439,0,73000
98,99,0,10500000,8,11.003515,1,2012,8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,8,15,23,13,163,15,257,323,501,1,23000000
99,100,0,6000000,0,5.529808,1,1988,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,11,8,19,10,214,0,169,139,353,1,46616067
100,101,0,7000000,0,7.958502,1,1990,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,1,4,1,14,47,61,8,298,69,134,1211,1578,1,9229401
101,102,0,60000000,0,11.93646,1,2001,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,38,60,98,14,633,15,144,1295,1943,1,313542341
102,103,0,0,2,1.066558,1,2007,8,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,3,1,7,5,12,0,165,58,0,91,314,0,14961069
103,104,0,0,0,2.401289,1,2012,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,20,11,31,1,463,43,13,227,733,1,5310554
104,105,1,0,13,1.590383,1,2014,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,16,11,27,0,336,80,0,263,679,0,149521495
105,106,0,10900000,0,13.454169,1,2013,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,14,40,54,8,317,93,163,1005,1415,1,16505460
106,107,0,31000000,0,6.523155,1,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,25,16,41,0,539,24,0,315,878,1,15134293
107,108,0,72000000,0,20.755149,1,1995,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,1,3,4,55,67,122,8,1063,52,151,1531,2646,1,210000000
108,109,0,14000000,0,3.873796,1,1999,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2,1,6,3,9,0,80,13,0,52,145,1,18535191
109,110,0,15000000,0,3.210693,1,1966,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,18,13,31,2,369,1,36,252,622,1,34562222
110,111,0,75000000,0,13.136791,1,2001,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,7,1,10,104,114,1,135,92,7,2554,2781,1,67631903
111,112,0,35000000,0,5.093704,1,2004,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,1,20,25,45,1,416,32,9,574,1022,1,22034832
112,113,0,100000000,0,11.696923,1,2015,11,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,1,8,1,26,110,136,22,593,134,486,2644,3371,1,93820758
113,114,0,20000000,0,4.619593,1,1988,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,1,13,13,26,3,297,12,52,265,574,1,51684798
114,115,1,93000000,0,32.070725,1,2001,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3,1,26,30,56,16,390,14,261,337,741,1,871368364
115,116,0,25000000,0,5.00725,1,2002,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,11,13,24,7,242,0,106,249,491,1,41604473
116,117,0,0,7,1.6780130000000002,1,2012,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,3,17,18,35,2,361,262,42,412,1035,1,311
117,118,0,0,0,11.356011,1,2007,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,17,12,29,9,369,31,196,264,664,1,253625427
118,119,0,0,0,4.304224,1,1993,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,20,16,36,11,502,15,191,355,872,1,1796389
119,120,0,12716953,11,6.183021,1,1997,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,15,10,25,4,342,7,51,196,545,1,18814720
120,121,1,90000000,0,8.345985,1,2001,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,3,16,10,26,1,304,0,23,178,482,1,347325802
121,122,1,150000000,0,12.453452,1,1999,6,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,11,27,38,9,209,0,129,707,916,1,448000000
122,123,0,1500000,0,1.9612080000000003,1,1990,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,1,1,51,119,170,4,1148,5,49,2988,4141,1,5585154
123,124,0,25000000,0,8.369176,1,2000,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,2,15,7,22,6,300,37,147,129,466,1,91036760
124,125,0,7500000,0,16.376657,1,2009,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,3,23,35,58,17,489,32,295,894,1415,1,60722734
125,126,0,40000000,7,14.622492999999999,1,2008,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,3,4,2,6,2,49,101,39,35,185,1,7400000
126,127,0,0,0,5.695908,1,1978,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,17,2,19,1,336,5,24,51,392,1,15500000
127,128,0,10000000,0,7.886926,1,2000,12,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,4,1,2,1,16,59,75,4,322,20,61,1408,1750,1,12008642
128,129,0,18000000,0,9.929808999999999,1,2005,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,3,11,21,32,21,177,29,324,311,517,1,46201432
129,130,0,2400000,0,5.2306610000000004,1,1996,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,18,2,20,3,396,8,45,32,436,1,5731103
130,131,0,4000000,0,10.130541000000001,1,2013,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,23,13,36,6,549,83,86,331,963,1,9800000
131,132,0,6000000,0,8.278079,1,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,22,2,24,0,462,0,0,45,507,1,5206
132,133,0,0,0,1.079975,1,2000,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,1,4,1,5,4,97,13,64,10,120,1,2452566
133,134,0,65000000,0,11.73956,1,2010,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,18,57,75,8,374,38,95,1354,1766,1,211780824
134,135,0,10000000,0,11.840494999999999,1,2007,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,30,8,38,9,669,43,138,141,853,1,33000000
135,136,0,2000000,0,1.372493,1,2006,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,9,19,28,13,219,63,258,447,729,1,300000
136,137,1,0,0,2.490032,1,2012,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,17,3,20,6,367,0,107,77,444,1,120680
137,138,0,9000000,0,8.888278,1,1994,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,36,14,50,7,746,17,159,310,1073,1,4350774
138,139,0,0,0,10.245682,1,2010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,9,45,54,16,151,33,296,1133,1317,1,3065860
139,140,1,110000000,0,0.9130959999999999,1,2003,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,6,3,31,28,59,5,578,101,101,510,1189,1,407711549
140,141,0,14320000,0,0.5853970000000001,1,1968,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,1,2,1,13,10,23,3,279,15,54,221,515,1,14000000
141,142,0,0,0,7.008512,1,2003,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,1,13,13,26,4,207,36,67,253,496,1,31466789
142,143,0,3500000,0,5.353826000000001,1,2016,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,15,4,19,6,357,16,98,108,481,1,615816
